code,response,type,date
x26010117,404,historical,2023-05-15
x02080117,404,historical,2023-05-15
x09150117,404,historical,2023-05-15
x16220117,404,historical,2023-05-15
x23290117,404,historical,2023-05-15
x30050217,404,historical,2023-05-15
x06120217,404,historical,2023-05-15
x13190217,404,historical,2023-05-15
x20260217,404,historical,2023-05-15
x27050317,404,historical,2023-05-15
x06120317,404,historical,2023-05-15
x13190317,404,historical,2023-05-15
x20260317,404,historical,2023-05-15
x27020417,404,historical,2023-05-15
x03090417,404,historical,2023-05-15
x10160417,404,historical,2023-05-15
x17230417,404,historical,2023-05-15
x24300417,404,historical,2023-05-15
x01070517,404,historical,2023-05-15
x08140517,404,historical,2023-05-15
x15210517,404,historical,2023-05-15
x22280517,404,historical,2023-05-15
x29040617,404,historical,2023-05-15
x05110617,404,historical,2023-05-15
x12180617,404,historical,2023-05-15
x19250617,404,historical,2023-05-15
x26020717,404,historical,2023-05-15
x03090717,404,historical,2023-05-15
x10160717,404,historical,2023-05-15
x17230717,404,historical,2023-05-15
x24300717,404,historical,2023-05-15
x31060817,404,historical,2023-05-15
x07130817,404,historical,2023-05-15
x14200817,404,historical,2023-05-15
x21270817,404,historical,2023-05-15
x28030917,404,historical,2023-05-15
x04100917,404,historical,2023-05-15
x11170917,404,historical,2023-05-15
x18240917,404,historical,2023-05-15
x25011017,404,historical,2023-05-15
x02081017,404,historical,2023-05-15
x09151017,404,historical,2023-05-15
x16221017,404,historical,2023-05-15
x23291017,404,historical,2023-05-15
x30051117,404,historical,2023-05-15
x06121117,404,historical,2023-05-15
x13191117,404,historical,2023-05-15
x20261117,404,historical,2023-05-15
x27031217,404,historical,2023-05-15
x04101217,404,historical,2023-05-15
x11171217,404,historical,2023-05-15
x18241217,404,historical,2023-05-15
x25311217,404,historical,2023-05-15
x01070118,404,historical,2023-05-15
x08140118,404,historical,2023-05-15
x15210118,404,historical,2023-05-15
x22280118,404,historical,2023-05-15
x29040218,404,historical,2023-05-15
x05110218,404,historical,2023-05-15
x12180218,404,historical,2023-05-15
x19250218,404,historical,2023-05-15
x26040318,404,historical,2023-05-15
x05110318,404,historical,2023-05-15
x12180318,404,historical,2023-05-15
x19250318,404,historical,2023-05-15
x26010418,404,historical,2023-05-15
x02080418,404,historical,2023-05-15
x09150418,404,historical,2023-05-15
x16220418,404,historical,2023-05-15
x23290418,404,historical,2023-05-15
x30060518,404,historical,2023-05-15
x07130518,404,historical,2023-05-15
x14200518,404,historical,2023-05-15
x21270518,404,historical,2023-05-15
x28030618,404,historical,2023-05-15
x04100618,404,historical,2023-05-15
x11170618,404,historical,2023-05-15
x18240618,404,historical,2023-05-15
x25010718,404,historical,2023-05-15
x02080718,404,historical,2023-05-15
x09150718,404,historical,2023-05-15
x16220718,404,historical,2023-05-15
x23290718,404,historical,2023-05-15
x30050818,404,historical,2023-05-15
x06120818,404,historical,2023-05-15
x13190818,404,historical,2023-05-15
x20260818,404,historical,2023-05-15
x27020918,404,historical,2023-05-15
x03090918,404,historical,2023-05-15
x10160918,404,historical,2023-05-15
x17230918,404,historical,2023-05-15
x24300918,404,historical,2023-05-15
x01071018,404,historical,2023-05-15
x08141018,404,historical,2023-05-15
x15211018,404,historical,2023-05-15
x22281018,404,historical,2023-05-15
x29041118,404,historical,2023-05-15
x05111118,404,historical,2023-05-15
x12181118,404,historical,2023-05-15
x19251118,404,historical,2023-05-15
x26021218,404,historical,2023-05-15
x03091218,404,historical,2023-05-15
x10161218,404,historical,2023-05-15
x17231218,404,historical,2023-05-15
x24301218,404,historical,2023-05-15
x31060119,404,historical,2023-05-15
x07130119,404,historical,2023-05-15
x14200119,404,historical,2023-05-15
x21270119,404,historical,2023-05-15
x28030219,404,historical,2023-05-15
x04100219,404,historical,2023-05-15
x11170219,404,historical,2023-05-15
x18240219,404,historical,2023-05-15
x25030319,404,historical,2023-05-15
x04100319,404,historical,2023-05-15
x11170319,404,historical,2023-05-15
x18240319,404,historical,2023-05-15
x25310319,404,historical,2023-05-15
x01070419,404,historical,2023-05-15
x08140419,404,historical,2023-05-15
x15210419,404,historical,2023-05-15
x22280419,404,historical,2023-05-15
x29050519,404,historical,2023-05-15
x06120519,404,historical,2023-05-15
x13190519,404,historical,2023-05-15
x20260519,404,historical,2023-05-15
x27020619,404,historical,2023-05-15
x03090619,404,historical,2023-05-15
x10160619,404,historical,2023-05-15
x17230619,404,historical,2023-05-15
x24300619,404,historical,2023-05-15
x01070719,404,historical,2023-05-15
x08140719,404,historical,2023-05-15
x15210719,404,historical,2023-05-15
x22280719,404,historical,2023-05-15
x29040819,404,historical,2023-05-15
x05110819,404,historical,2023-05-15
x12180819,404,historical,2023-05-15
x19250819,404,historical,2023-05-15
x26010919,404,historical,2023-05-15
x02080919,404,historical,2023-05-15
x09150919,404,historical,2023-05-15
x16220919,404,historical,2023-05-15
x23290919,404,historical,2023-05-15
x30061019,404,historical,2023-05-15
x07131019,404,historical,2023-05-15
x14201019,404,historical,2023-05-15
x21271019,404,historical,2023-05-15
x28031119,404,historical,2023-05-15
x04101119,404,historical,2023-05-15
x11171119,404,historical,2023-05-15
x18241119,404,historical,2023-05-15
x25011219,404,historical,2023-05-15
x02081219,404,historical,2023-05-15
x09151219,404,historical,2023-05-15
x16221219,404,historical,2023-05-15
x23291219,404,historical,2023-05-15
x30050120,404,historical,2023-05-15
x06120120,404,historical,2023-05-15
x13190120,404,historical,2023-05-15
x20260120,404,historical,2023-05-15
x27020220,404,historical,2023-05-15
x03090220,404,historical,2023-05-15
x10160220,404,historical,2023-05-15
x17230220,404,historical,2023-05-15
x24010320,404,historical,2023-05-15
x02080320,404,historical,2023-05-15
x09150320,404,historical,2023-05-15
x16220320,404,historical,2023-05-15
x23290320,404,historical,2023-05-15
x30050420,404,historical,2023-05-15
x06120420,404,historical,2023-05-15
x13190420,404,historical,2023-05-15
x20260420,404,historical,2023-05-15
x27030520,404,historical,2023-05-15
x04100520,404,historical,2023-05-15
x11170520,404,historical,2023-05-15
x18240520,404,historical,2023-05-15
x25310520,404,historical,2023-05-15
x01070620,404,historical,2023-05-15
x08140620,200,historical,2023-05-15
x15210620,404,historical,2023-05-15
x22280620,404,historical,2023-05-15
x29050720,404,historical,2023-05-15
x06120720,404,historical,2023-05-15
x13190720,404,historical,2023-05-15
x20260720,200,historical,2023-05-15
x27020820,200,historical,2023-05-15
x03090820,404,historical,2023-05-15
x10160820,200,historical,2023-05-15
x17230820,200,historical,2023-05-15
x24300820,404,historical,2023-05-15
x31060920,200,historical,2023-05-15
x07130920,200,historical,2023-05-15
x14200920,200,historical,2023-05-15
x21270920,200,historical,2023-05-15
x28041020,200,historical,2023-05-15
x05111020,200,historical,2023-05-15
x12181020,404,historical,2023-05-15
x19251020,200,historical,2023-05-15
x26011120,404,historical,2023-05-15
x02081120,404,historical,2023-05-15
x09151120,200,historical,2023-05-15
x16221120,200,historical,2023-05-15
x23291120,404,historical,2023-05-15
x30061220,200,historical,2023-05-15
x07131220,200,historical,2023-05-15
x14201220,200,historical,2023-05-15
x21271220,404,historical,2023-05-15
x28030121,404,historical,2023-05-15
x04100121,200,historical,2023-05-15
x11170121,404,historical,2023-05-15
x18240121,200,historical,2023-05-15
x25310121,200,historical,2023-05-15
x01070221,404,historical,2023-05-15
