HS,MERGED_DESCRIP,CURATED_DESCRIP,MAPPED_TO
0701100000,PAPAS(PATATAS) FRESCAS O REFRIGERADOS PARA SIEMBRA. Para siembra. Para siembra.,"Papas (patatas) para siembra, frescos o refrigerados",
0701900000,PAPAS(PATATAS) FRESCAS O REFRIGERADAS (EXC. PARA SIEMBRA). Las demas. Las demás.,"Papas (patatas) excepto para siembra, frescos o refrigerados",
0702000000,TOMATES FRESCOS O REFRIGERADOS. Tomates frescos o refrigerados. Tomates frescos o refrigerados.,Tomates frescos o refrigerados,
0703100000,Cebollas y chalotes. CEBOLLAS Y CHALOTES. Cebollas y chalotes.,Cebollas y chalotes frescos o refrigerados,
0703201000,Para siembra.,Ajos para siembra frescos o refrigerados,
0703209000,Los demás.,Ajos excepto para siembra frescos o refrigerados,
0703900000,Puerros y demás hortalizas aliáceas. PUERROS Y DEMAS HORTALIZAS ALIACEAS. Puerros y demas hortalizas aliaceas. Puerros y demás hortalizas aliáceas (incluso «silvestres»).,"Puerros y demás hortalizas aliáceas, incluso silvestres frescos o refrigerados",
0704100000,"Coliflores y brécoles («broccoli»). Coliflores y brócolis. Coliflores y brecoles (""broccoli""). COLIFLORES Y BRECOLES (""BROCCOLI"").",Coliflores y brócolis frescos o refrigerados,
0704200000,COLES DE BRUSELAS. Coles (repollitos) de Bruselas. Coles (repollitos) de Bruselas.,Coles (repollitos) de Bruselas frescos o refrigerados,
0704900000,"DEMAS COLES,COLIFLORES,COLES RIZADAS,COLINABOS FRESCOS. Los demas. Los demás.","Coles (excepto de Bruselas), colinabos y productos comestibles similares del género Brassica frescos o refrigerados",
0705110000,Repolladas. LECHUGAS REPOLLADAS. Repolladas.,Lechugas repolladas frescas o refrigeradas,
0705190000,Las demás. DEMAS LECHUGAS (EXC. LAS REPOLLADAS). Las demas.,"Lechugas excepto repolladas, frescas o refrigeradas",
0706100000,ZANAHORIAS Y NABOS. Zanahorias y nabos. Zanahorias y nabos.,Zanahorias y nabos frescos o refrigerados,
0706900000,"REMOLACHAS PARA ENSALADA, SALSIFIES,APIONADOS,RABANOS. Los demas. Los demás.","Remolachas para ensalada, salsifies, apionabos y rábanos frescos o refrigerados",
0707000000,"Pepinos y pepinillos, frescos o refrigerados. Pepinos y pepinillos, frescos o refrigerados. PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS.",Pepinos y pepinillos frescos o refrigerados,
0708100000,"Arvejas (guisantes, chicharos) (Pisum sativum). Arvejas (guisantes, chícharos) (Pisum sativum). ARVEJAS O GUISANTES FRESCAS O REFRIGERADAS.","Arvejas (guisantes, chicharos) frescos o refrigerados",
0708200000,"FRIJOLES (FREJOLES, POROTOS, ALUBIAS),FRESCAS O REFRIGERADAS. Frijoles (frejoles, porotos, alubias, judias) (Vigna spp., Phaseolus spp.). Frijoles (fréjoles, porotos, alubias, judías) (Vigna spp, Phaseolus spp).","Frijoles (frejoles, porotos, alubias, judías) frescos o refrigerados",
0708900000,DEMAS LEGUMBRES (EXC. ARVERJAS Y FRIJOLES) FRESCAS O REFRIG. Las demas. Las demás.,Hortalizas de vaina (legumbres) excepto arberjas y frijoles frescos o refrigerados,
0709200000,ESPARRAGOS FRESCOS O REFRIGERADOS. Esparragos. Espárragos.,Espárragos frescos o refrigerados,
0709300000,Berenjenas. Berenjenas. BERENJENAS FRESCAS O REFRIGERADAS.,Berenjenas frescos o refrigerados,
0709400000,"APIO, EXCEPTO EL APIONABO FRESCOS O REFRIGERADOS. Apio, excepto el apionabo. Apio, excepto el apionabo.",Apio excepto apionabo frescos o refrigerados,
